REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
the desired dispenser mode 	 should_be_selected_from 	 the buttons
the buttons 	 should_be_selected_from_reverse 	 the desired dispenser mode
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 a glass or other container
the dispenser switch 	 should_be_pressed_with_a_glass_or_other_container_to 	 dispense cubed ice, water or crushed ice
a glass or other container 	 should_be_pressed_with_reverse 	 the dispenser switch
the dispenser switch 	 should_be_pressed_with 	 a glass or other container
dispense cubed ice, water or crushed ice 	 should_be_pressed_with_a_glass_or_other_container_to_reverse 	 the dispenser switch
sentence_list_jotzy5 	 talks_about 	 Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
sentence_list_jotzy5 	 talks_about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 on display in a retail store
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
on display in a retail store 	 Synchronous 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
activated 	 Synchronous 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
the display remains on for 20 seconds 	 Conjunction 	 OFF is displayed on the control panel
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 Display Mode For Store Use
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the refrigerator sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the freezer sections to conserve energy
all cooling in the freezer sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
Display Mode For Store Use 	 disables 	 all cooling in the refrigerator sections to conserve energy
all cooling in the refrigerator sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
the display remains on for 20 seconds 	 talks_about 	 the display
the display remains on for 20 seconds 	 talks_about 	 20 seconds
OFF is displayed on the control panel 	 talks_about 	 the control panel
sentence_list_5i7u0k 	 talks_about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_5i7u0k 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_5i7u0k 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 Display Mode For Store Use Only is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode For Store Use Only is deactivated
Use the same procedure to activate Display Mode ( For Store Use Only ). 	 paraphrase 	 the same procedure should be used to activate Display Mode For Store Use Only
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 the same procedure
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 to activate Display Mode For Store Use Only
the same procedure 	 should_be_used 	 to activate Display Mode For Store Use Only
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the temperature settings display to confirm 	 Conjunction 	 The control panel beeps
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 activate Display Mode For Store Use Only
the same procedure 	 should_be_used_to 	 activate Display Mode For Store Use Only
activate Display Mode For Store Use Only 	 should_be_used_to_reverse 	 the same procedure
the temperature settings display to confirm 	 talks_about 	 confirm
the temperature settings display to confirm 	 talks_about 	 the temperature settings
confirm 	 display_to_reverse 	 the temperature settings
the temperature settings 	 display_to 	 confirm
sentence_list_qxt5c5 	 talks_about 	 Sabbath Mode is only available on some models.
Sabbath Mode is only available on some models. 	 talks_about 	 Sabbath Mode
Sabbath Mode is only available on some models. 	 talks_about 	 only available
Sabbath Mode is only available on some models. 	 talks_about 	 some models
Sabbath Mode 	 is 	 only available
Sabbath Mode 	 is_only_available_on 	 some models
only available 	 is_reverse 	 Sabbath Mode
some models 	 is_only_available_on_reverse 	 Sabbath Mode
sentence_list_g7b98r 	 talks_about 	 Sabbath Mode automatically turns off after 96 hours.
sentence_list_g7b98r 	 talks_about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
sentence_list_g7b98r 	 talks_about 	 Selecting Sabbath Mode automatically turns off the alarm functions.
sentence_list_g7b98r 	 talks_about 	 The dispenser and InstaView are disabled in Sabbath Mode, on applicable models.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 preceded_by 	 turned on
turned on 	 succeded_by 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 96 hours
Sabbath Mode 	 automatically_turns_off_after 	 96 hours
96 hours 	 automatically_turns_off_after_reverse 	 Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 the alarm functions
Selecting Sabbath Mode 	 automatically_turns_off 	 the alarm functions
the alarm functions 	 automatically_turns_off_reverse 	 Selecting Sabbath Mode
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 The dispenser
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 Sabbath Mode
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 InstaView
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 disabled
The dispenser 	 are_disabled_in 	 Sabbath Mode
InstaView 	 are_disabled_in 	 Sabbath Mode
Sabbath Mode 	 are_disabled_in_reverse 	 InstaView
disabled 	 are_reverse 	 InstaView
Sabbath Mode 	 are_disabled_in_reverse 	 The dispenser
The dispenser 	 are 	 disabled
InstaView 	 are 	 disabled
disabled 	 are_reverse 	 The dispenser
Sabbath Mode is maintained even after a power outage 	 talks_about 	 even after a power outage
Sabbath Mode is maintained even after a power outage 	 talks_about 	 Sabbath Mode
even after a power outage 	 is_maintained_reverse 	 Sabbath Mode
Sabbath Mode 	 is_maintained 	 even after a power outage
sentence_list_5pzyg6 	 talks_about 	 To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display.
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 Sabbath mode
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
Sabbath mode 	 should_be_turned_by 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
sentence_list_5pzyg6 	 talks_about 	 To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds.
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 Sabbath mode
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
Sabbath mode 	 should_be_turned_by 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
sentence_list_zz27xo 	 talks_about 	 The dispenser will not operate when either of the refrigerator doors is open.
sentence_list_zz27xo 	 talks_about 	 If discolored ice is dispensed, check the water filter and water supply.
sentence_list_zz27xo 	 talks_about 	 If the problem continues, contact an LG Electronics Customer Information Center.
sentence_list_zz27xo 	 talks_about 	 Do not use the water or ice until the problem is corrected.
sentence_list_zz27xo 	 talks_about 	 Dispense ice into a glass before filling a glass with water or other beverages.
sentence_list_zz27xo 	 talks_about 	 Splashing may occur if ice is dispensed into a glass that already contains liquid.
sentence_list_zz27xo 	 talks_about 	 Some dripping may occur after dispensing.
sentence_list_zz27xo 	 talks_about 	 Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.
sentence_list_zz27xo 	 talks_about 	 Keep containers at an appropriate distance from the dispensers.
sentence_list_zz27xo 	 talks_about 	 Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute.
sentence_list_zz27xo 	 talks_about 	 A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 either of the refrigerator doors is open
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 The dispenser will not operate
The dispenser will not operate 	 Synchronous 	 either of the refrigerator doors is open
either of the refrigerator doors is open 	 Synchronous 	 The dispenser will not operate
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 discolored ice is dispensed
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 check the water filter and water supply
check the water filter and water supply 	 Condition 	 discolored ice is dispensed
discolored ice is dispensed 	 Follows 	 check the water filter and water supply
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 the problem continues
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 contact an LG Electronics Customer Information Center
contact an LG Electronics Customer Information Center 	 Condition 	 the problem continues
the problem continues 	 Follows 	 contact an LG Electronics Customer Information Center
Do not use the water or ice until the problem is corrected. 	 talks_about 	 the problem is corrected
Do not use the water or ice until the problem is corrected. 	 talks_about 	 Do not use the water or ice
Do not use the water or ice 	 succeded_by 	 the problem is corrected
the problem is corrected 	 preceded_by 	 Do not use the water or ice
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 ice is dispensed into a glass that already contains liquid
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 Splashing may occur
Splashing may occur 	 Condition 	 ice is dispensed into a glass that already contains liquid
ice is dispensed into a glass that already contains liquid 	 Follows 	 Splashing may occur
Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops. 	 paraphrase 	 the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the cup
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup 	 should_be_held 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
Keep containers at an appropriate distance from the dispensers. 	 paraphrase 	 containers should be kept at an appropriate distance from the dispensers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 containers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 at an appropriate distance from the dispensers
containers 	 should_be_kept 	 at an appropriate distance from the dispensers
check the water filter and water supply 	 paraphrase 	 the water filter and water supply should be checked
contact an LG Electronics Customer Information Center 	 paraphrase 	 an LG Electronics Customer Information Center should be contacted
Do not use the water or ice 	 paraphrase 	 the water or ice should not be used
ice is dispensed into a glass that already contains liquid 	 talks_about 	 already contains liquid
ice is dispensed into a glass that already contains liquid 	 talks_about 	 ice is dispensed into a glass
ice is dispensed into a glass 	 that 	 already contains liquid
Some dripping may occur after dispensing. 	 talks_about 	 dispensing
Some dripping may occur after dispensing. 	 talks_about 	 Some dripping
dispensing 	 may_occur_after_reverse 	 Some dripping
Some dripping 	 may_occur_after 	 dispensing
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the dispenser
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 a few seconds
the dispenser 	 should_be_held_beneath_reverse 	 the cup
the cup 	 should_be_held_after 	 dispensing to catch all of the drops
dispensing to catch all of the drops 	 should_be_held_after_reverse 	 the cup
a few seconds 	 should_be_held_for_reverse 	 the cup
the cup 	 should_be_held_for 	 a few seconds
the cup 	 should_be_held_beneath 	 the dispenser
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 an appropriate distance from the dispensers
an appropriate distance from the dispensers 	 should_be_kept_at_reverse 	 containers
containers 	 should_be_kept_at 	 an appropriate distance from the dispensers
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 far enough from the ice outlet
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 narrow glasses
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 prevent ice from jamming in the ice chute
far enough from the ice outlet 	 should_be_held_reverse 	 narrow glasses
narrow glasses 	 should_be_held 	 far enough from the ice outlet
prevent ice from jamming in the ice chute 	 should_be_held_to_reverse 	 narrow glasses
narrow glasses 	 should_be_held_to 	 prevent ice from jamming in the ice chute
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 avoid spilling
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 A container with a very small opening
avoid spilling 	 should_be_held_to_reverse 	 A container with a very small opening
A container with a very small opening 	 should_be_held_to 	 avoid spilling
either of the refrigerator doors is open 	 talks_about 	 either of the refrigerator doors
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 LG
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 Information Center
LG 	 [is]_Electronics_Customer_[of]_reverse 	 Information Center
Information Center 	 [is]_Electronics_Customer_[of] 	 LG
ice is dispensed into a glass 	 talks_about 	 ice
ice is dispensed into a glass 	 talks_about 	 a glass
ice 	 is_dispensed_into 	 a glass
a glass 	 is_dispensed_into_reverse 	 ice
sentence_list_ermtt1 	 talks_about 	 Keep children away from the dispenser.
sentence_list_ermtt1 	 talks_about 	 Children may play with or damage the controls.
sentence_list_ermtt1 	 talks_about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
sentence_list_ermtt1 	 talks_about 	 The first ice and water dispensed may include particles or odor from the water supply line or the water tank.
sentence_list_ermtt1 	 talks_about 	 This is also necessary if the refrigerator has not been used for a long time.
sentence_list_ermtt1 	 talks_about 	 Dispense and throw away 2.5 gallons of water ( flush for approximately 5 minutes ) after installation.
sentence_list_ermtt1 	 talks_about 	 Do not dispense 2.5 gallons of water continuously.
sentence_list_ermtt1 	 talks_about 	 Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF.
sentence_list_ermtt1 	 talks_about 	 If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.
sentence_list_ermtt1 	 talks_about 	 Never use a glass that is exceptionally narrow or deep.
sentence_list_ermtt1 	 talks_about 	 Ice may jam in the ice passage and refrigerator performance may be affected.
sentence_list_ermtt1 	 talks_about 	 When dispensing ice from the dispenser, do not use a fragile container.
Keep children away from the dispenser. 	 paraphrase 	 children should be kept away from the dispenser
children should be kept away from the dispenser 	 talks_about 	 children
children should be kept away from the dispenser 	 talks_about 	 away from the dispenser
children 	 should_be_kept 	 away from the dispenser
Throw away the first bin full of ice ( about 140-160 cubes ) after installation. 	 paraphrase 	 the first bin full of ice about 140-160 cubes should be thrown away after installation
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 the first bin full of ice about 140-160 cubes
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 away after installation
the first bin full of ice about 140-160 cubes 	 should_be_thrown 	 away after installation
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 the refrigerator has not been used for a long time
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 This is also necessary
This is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 This is also necessary
Do not dispense 2.5 gallons of water continuously. 	 paraphrase 	 2.5 gallons of water should not be dispensed continuously
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 2.5 gallons of water
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 continuously
2.5 gallons of water 	 should_not_be_dispensed 	 continuously
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks_about 	 ice or water dispenses unexpectedly
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks_about 	 turn off the water supply and contact an LG Electronics Customer Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 Condition 	 ice or water dispenses unexpectedly
ice or water dispenses unexpectedly 	 Follows 	 turn off the water supply and contact an LG Electronics Customer Information Center
Never use a glass that is exceptionally narrow or deep. 	 talks_about 	 is exceptionally narrow or deep
Never use a glass that is exceptionally narrow or deep. 	 talks_about 	 Never use a glass
Never use a glass 	 that 	 is exceptionally narrow or deep
When dispensing ice from the dispenser, do not use a fragile container. 	 talks_about 	 dispensing ice from the dispenser
When dispensing ice from the dispenser, do not use a fragile container. 	 talks_about 	 do not use a fragile container
do not use a fragile container 	 Synchronous 	 dispensing ice from the dispenser
dispensing ice from the dispenser 	 Synchronous 	 do not use a fragile container
Never use a glass 	 paraphrase 	 a glass should not be used
do not use a fragile container 	 paraphrase 	 a fragile container should not be used
away from the dispenser 	 should_be_kept_reverse 	 children
Children may play with or damage the controls. 	 talks_about 	 the controls
Children may play with or damage the controls. 	 talks_about 	 Children
the controls 	 damage_reverse 	 Children
Children 	 damage 	 the controls
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 installation
the first bin full of ice about 140-160 cubes 	 should_be_thrown_away_after 	 installation
installation 	 should_be_thrown_away_after_reverse 	 the first bin full of ice about 140-160 cubes
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks_about 	 particles or odor from the water supply line or the water tank
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks_about 	 The first ice and water dispensed
particles or odor from the water supply line or the water tank 	 may_include_reverse 	 The first ice and water dispensed
The first ice and water dispensed 	 may_include 	 particles or odor from the water supply line or the water tank
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 may be affected
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 Ice
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 the ice passage
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 the refrigerator performance
may be affected 	 may_jam_reverse 	 Ice
the ice passage 	 may_jam_in_reverse 	 Ice
Ice 	 may_jam_in 	 the ice passage
Ice 	 may_jam_may_be_affected_in 	 the refrigerator performance
Ice 	 may_jam 	 may be affected
Ice 	 may_jam_in_the_ice_passage 	 may be affected
the refrigerator performance 	 may_jam_may_be_affected_in_reverse 	 Ice
may be affected 	 may_jam_in_the_ice_passage_reverse 	 Ice
the refrigerator has not been used for a long time 	 talks_about 	 the refrigerator
the refrigerator has not been used for a long time 	 talks_about 	 a long time
the refrigerator 	 has_not_been_used_for 	 a long time
a long time 	 has_not_been_used_for_reverse 	 the refrigerator
This is also necessary 	 talks_about 	 also
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks_about 	 LG
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks_about 	 Information Center
sentence_list_eq8kif 	 talks_about 	 Press the button for the desired dispenser mode on the dispenser control panel.
sentence_list_eq8kif 	 talks_about 	 The LED lights up when the desired dispenser mode is selected.
sentence_list_eq8kif 	 talks_about 	 Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice.
Press the button for the desired dispenser mode on the dispenser control panel. 	 paraphrase 	 the button should be pressed for the desired dispenser mode on the dispenser control panel
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 the button
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 for the desired dispenser mode on the dispenser control panel
the button 	 should_be_pressed 	 for the desired dispenser mode on the dispenser control panel
The LED lights up when the desired dispenser mode is selected. 	 talks_about 	 the desired dispenser mode is selected
The LED lights up when the desired dispenser mode is selected. 	 talks_about 	 The LED lights up
The LED lights up 	 Synchronous 	 the desired dispenser mode is selected
the desired dispenser mode is selected 	 Synchronous 	 The LED lights up
Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 the dispenser
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser 	 should_be_pressed 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 the desired dispenser mode on the dispenser control panel
the desired dispenser mode on the dispenser control panel 	 should_be_pressed_for_reverse 	 the button
the button 	 should_be_pressed_for 	 the desired dispenser mode on the dispenser control panel
sentence_list_a0ax8y 	 talks_about 	 Press and hold the Lock button for three seconds to lock Ice and Water Dispenser and all the control panel functions.
sentence_list_a0ax8y 	 talks_about 	 Follow the same instructions to unlock.
Follow the same instructions to unlock. 	 paraphrase 	 the same instructions to unlock should be followed
sentence_list_pdjhe7 	 talks_about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily.
sentence_list_pdjhe7 	 talks_about 	 Lint from a cloth may adhere to Ice and Water Outlet.
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks_about 	 as the water outlet a or ice outlet b may get dirty easily
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks_about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth
Wipe the water outlet a or ice outlet b frequently with a clean , lint free cloth 	 paraphrase 	 the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 the water outlet a or ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 frequently with a clean, lint free cloth
the water outlet a or ice outlet b 	 should_be_wiped 	 frequently with a clean, lint free cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Lint from a cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Water Outlet
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Ice
Lint from a cloth 	 may_adhere_to 	 Water Outlet
Lint from a cloth 	 may_adhere_to 	 Ice
Ice 	 may_adhere_to_reverse 	 Lint from a cloth
Water Outlet 	 may_adhere_to_reverse 	 Lint from a cloth
as the water outlet a or ice outlet b may get dirty easily 	 talks_about 	 dirty
as the water outlet a or ice outlet b may get dirty easily 	 talks_about 	 ice outlet b
dirty 	 may_get_easily_reverse 	 ice outlet b
ice outlet b 	 may_get_easily 	 dirty
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 a clean, lint free cloth
a clean, lint free cloth 	 should_be_wiped_with_reverse 	 ice outlet b
ice outlet b 	 should_be_wiped_with 	 a clean, lint free cloth
sentence_list_fv6esd 	 talks_about 	 Wipe the entire area with a damp cloth.
sentence_list_fv6esd 	 talks_about 	 The dispenser tray may become wet easily due to spilled ice or water.
Wipe the entire area with a damp cloth. 	 paraphrase 	 the entire area should be wiped with a damp cloth
the entire area should be wiped with a damp cloth 	 talks_about 	 the entire area
the entire area should be wiped with a damp cloth 	 talks_about 	 with a damp cloth
the entire area 	 should_be_wiped 	 with a damp cloth
the entire area should be wiped with a damp cloth 	 talks_about 	 a damp cloth
a damp cloth 	 should_be_wiped_with_reverse 	 the entire area
the entire area 	 should_be_wiped_with 	 a damp cloth
The dispenser tray may become wet easily due to spilled ice or water. 	 talks_about 	 The dispenser tray
The dispenser tray may become wet easily due to spilled ice or water. 	 talks_about 	 wet easily due to spilled ice or water
The dispenser tray 	 may_become 	 wet easily due to spilled ice or water
wet easily due to spilled ice or water 	 may_become_reverse 	 The dispenser tray
sentence_list_x4nxn6 	 talks_about 	 Keep the ice compartment door closed tightly.
sentence_list_x4nxn6 	 talks_about 	 If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment.
sentence_list_x4nxn6 	 talks_about 	 This could also cause the icemaker to stop producing ice.
Keep the ice compartment door closed tightly. 	 paraphrase 	 the ice compartment door should be kept closed tightly
the ice compartment door should be kept closed tightly 	 talks_about 	 the ice compartment door
the ice compartment door should be kept closed tightly 	 talks_about 	 closed tightly
the ice compartment door 	 should_be_kept 	 closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks_about 	 the ice compartment door is not closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks_about 	 the cold air in the ice bin will freeze food in the refrigerator compartment
the cold air in the ice bin will freeze food in the refrigerator compartment 	 Condition 	 the ice compartment door is not closed tightly
the ice compartment door is not closed tightly 	 Follows 	 the cold air in the ice bin will freeze food in the refrigerator compartment
This could also cause the icemaker to stop producing ice. 	 talks_about 	 the icemaker to stop producing ice
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 food
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 the cold air in the ice bin
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 the refrigerator compartment
food 	 will_freeze_reverse 	 the cold air in the ice bin
the cold air in the ice bin 	 will_freeze 	 food
the refrigerator compartment 	 will_freeze_food_in_reverse 	 the cold air in the ice bin
the cold air in the ice bin 	 will_freeze_food_in 	 the refrigerator compartment
sentence_list_dx9an0 	 talks_about 	 Keep hands and tools out of the Ice Compartment door and dispenser chute.
sentence_list_dx9an0 	 talks_about 	 Failure to do so may result in damage or personal injury.
Keep hands and tools out of the Ice Compartment door and dispenser chute. 	 paraphrase 	 hands and tools should be kept out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 hands and tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 out of the Ice Compartment door and dispenser chute
hands and tools 	 should_be_kept 	 out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 tools
